編成ID,編成名,アイコン,カラー,通常運用Gp,代走運用Gp,編成特記事項
,70-000,twr70,#00389E,twr,ja,
z1,Z1,twr70,#00389E,twr,ja,
z2,Z2,twr70,#00389E,twr,ja,
z3,Z3,twr70,#00389E,twr,ja,りんかい線30周年ラッピング
z6,Z6,twr70,#00389E,twr,ja,
z7,Z7,twr70,#00389E,twr,ja,
z8,Z8,twr70,#00389E,twr,ja,
z9,Z9,twr70,#00389E,twr,ja,
z10,Z10,twr70,#00389E,twr,ja,
,71-000,twr71,#00ABEB,twr,ja,
z11,Z11,twr71,#00ABEB,twr,ja,りんかい線30周年ラッピング
z12,Z12,twr71,#00ABEB,twr,ja,
z13,Z13,twr71,#00ABEB,twr,ja,
z14,Z14,twr71,#00ABEB,twr,ja,
z15,Z15,twr71,#00ABEB,twr,ja,
z16,Z16,twr71,#00ABEB,twr,ja,
z17,Z17,twr71,#00ABEB,twr,ja,
z18,Z18,twr71,#00ABEB,twr,ja,
,E233,e233ja,#2E8B57,ja,"twr,soja",
ja101,ﾊｴ101,e233ja,#2E8B57,ja,"twr,soja",
ja102,ﾊｴ102,e233ja,#2E8B57,ja,"twr,soja",
ja103,ﾊｴ103,e233ja,#2E8B57,ja,"twr,soja",
ja104,ﾊｴ104,e233ja,#2E8B57,ja,"twr,soja",
ja105,ﾊｴ105,e233ja,#2E8B57,ja,"twr,soja",
ja106,ﾊｴ106,e233ja,#2E8B57,ja,"twr,soja",
ja107,ﾊｴ107,e233ja,#2E8B57,ja,"twr,soja",
ja108,ﾊｴ108,e233ja,#2E8B57,ja,"twr,soja",
ja109,ﾊｴ109,e233ja,#2E8B57,ja,"twr,soja",
ja110,ﾊｴ110,e233ja,#2E8B57,ja,"twr,soja",
ja111,ﾊｴ111,e233ja,#2E8B57,ja,"twr,soja",
ja112,ﾊｴ112,e233ja,#2E8B57,ja,"twr,soja",
ja113,ﾊｴ113,e233ja,#2E8B57,ja,"twr,soja",
ja114,ﾊｴ114,e233ja,#2E8B57,ja,"twr,soja",
ja115,ﾊｴ115,e233ja,#2E8B57,ja,"twr,soja",
ja116,ﾊｴ116,e233ja,#2E8B57,ja,"twr,soja",
ja117,ﾊｴ117,e233ja,#2E8B57,ja,"twr,soja",
ja118,ﾊｴ118,e233ja,#2E8B57,ja,"twr,soja",
ja119,ﾊｴ119,e233ja,#2E8B57,ja,"twr,soja",
ja120,ﾊｴ120,e233ja,#2E8B57,ja,"twr,soja",
ja121,ﾊｴ121,e233ja,#2E8B57,ja,"twr,soja",
ja122,ﾊｴ122,e233ja,#2E8B57,ja,"twr,soja",
ja123,ﾊｴ123,e233ja,#2E8B57,ja,"twr,soja",
ja124,ﾊｴ124,e233ja,#2E8B57,ja,"twr,soja",
ja125,ﾊｴ125,e233ja,#2E8B57,ja,"twr,soja",
ja126,ﾊｴ126,e233ja,#2E8B57,ja,"twr,soja",
ja127,ﾊｴ127,e233ja,#2E8B57,ja,"twr,soja",
ja128,ﾊｴ128,e233ja,#2E8B57,ja,"twr,soja",
ja129,ﾊｴ129,e233ja,#2E8B57,ja,"twr,soja",
ja130,ﾊｴ130,e233ja,#2E8B57,ja,"twr,soja",
ja131,ﾊｴ131,e233ja,#2E8B57,ja,"twr,soja",
ja132,ﾊｴ132,e233ja,#2E8B57,ja,"twr,soja",
ja133,ﾊｴ133,e233ja,#2E8B57,ja,"twr,soja",
ja134,ﾊｴ134,e233ja,#2E8B57,ja,"twr,soja",
ja135,ﾊｴ135,e233ja,#2E8B57,ja,"twr,soja",
ja136,ﾊｴ136,e233ja,#2E8B57,ja,"twr,soja",
ja137,ﾊｴ137,e233ja,#2E8B57,ja,"twr,soja",
ja138,ﾊｴ138,e233ja,#2E8B57,ja,"twr,soja",
,12000,so12000,#002971,soja,ja,
so121,12101F,so12000,#002971,soja,ja,
